station_id;id2;loc1;loc2;id3;since;unknown;lat;lon;state;state_name;loc_type1;loc_type2;neighboring;street;hnumber;zip_code;mindate
7;DEBB007;Elsterwerda;Elsterwerda;ELBA;1992-09-01;NA;13.5268;51.4627;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Lauchhammerstr.;;04910;2016-01-01
21;DEBB021;Potsdam-Zentrum;Potsdam;PDBA;2009-04-15;NA;13.0599;52.4014;BB;Brandenburg;städtisches Gebiet;städtisch;Hintergrund;Am Bassinplatz;;14467;2016-01-01
28;DEBB029;Schwedt (Oder);Schwedt/Oder;SWHE;1993-04-06;NA;14.2851;53.0643;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Industrie;Helbigstr.;;16303;2016-01-01
31;DEBB032;Eisenhüttenstadt;Eisenhüttenstadt;EHST;1993-04-20;NA;14.6382;52.1463;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Industrie;Karl-Marx-Str.;35;15890;2016-01-01
42;DEBB044;Cottbus, Bahnhofstr.;Cottbus;COBA;2012-09-25;NA;14.3280;51.7566;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Bahnhofstr.;55;03046;2016-01-01
43;DEBB045;Frankfurt (Oder), Leipziger Str.;Frankfurt (Oder);FFLS;1995-08-01;NA;14.5386;52.3373;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Leipziger Str.;;15232;2016-01-01
46;DEBB048;Neuruppin;Neuruppin;NEHA;1998-06-11;NA;12.8095;52.9319;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Gerhard-Hauptmann-Str.;18/1;16816;2016-01-01
47;DEBB049;Brandenburg, Neuendorfer Str.;Brandenburg;BRNE;2013-10-15;NA;12.5484;52.4093;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Neuendorfer Str.;;14770;2016-01-01
51;DEBB053;Hasenholz (Buckow);Buckow;HAHO;2000-11-21;NA;14.0153;52.5638;BB;Brandenburg;ländlich regional;ländlich;Hintergrund;Ortsteil Hasenholz;;15377;2016-01-01
52;DEBB054;Potsdam, Zeppelinstr.;Potsdam;;2001-03-07;NA;13.0375;52.3939;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Zeppelinstr.;30;14471;2016-01-01
53;DEBB055;Brandenburg a.d. Havel;Brandenburg;;2001-10-01;NA;12.5523;52.4204;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Lilli-Friesicke-Str.;;14770;2016-01-01
58;DEBB060;Eberswalde, Breite Straße;Eberswalde;;2015-01-09;NA;13.8222;52.8325;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Breite Str.;24;16225;2016-01-01
61;DEBB063;Wittenberge;Wittenberge;;2002-12-03;NA;11.7385;52.9988;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Dr.-Wilhelm-Külz-Str.;;19322;2016-01-01
62;DEBB064;Cottbus;Cottbus;COGA;2002-12-10;NA;14.3345;51.7468;BB;Brandenburg;städtisches Gebiet;städtisch;Hintergrund;Gartenstr.;;03050;2016-01-01
63;DEBB065;Lütte (Belzig);Amt Belzig, Gemeinde Lütte;;2003-02-14;NA;12.5614;52.1942;BB;Brandenburg;ländlich regional;ländlich;Hintergrund;Die hohe Heide/Feldstraße;;14806;2016-01-01
64;DEBB066;Spreewald;Neu Zauche;SPNZ;2003-04-17;NA;14.0571;51.8976;BB;Brandenburg;ländlich regional;ländlich;Hintergrund;(Am Nordumfluter);;15913;2016-01-01
65;DEBB067;Nauen;Nauen;;2003-08-11;NA;12.8852;52.6086;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Kreuztaler Str.;3;14641;2016-01-01
66;DEBB068;Bernau, Lohmühlenstr.;Bernau;;2003-01-09;NA;13.5823;52.6777;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Lohmühlenstr.;42;16321;2016-01-01
71;DEBB073;Potsdam, Großbeerenstr.;Potsdam-Babelsberg;;2006-06-08;NA;13.0946;52.3889;BB;Brandenburg;städtisches Gebiet;städtisch;Verkehr;Großbeerenstr.;31;14482;2016-01-01
73;DEBB075;Potsdam, Groß Glienicke;Potsdam;;2007-04-27;NA;13.1237;52.4842;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Seeburger Chaussee;2;14476;2016-01-01
81;DEBB083;Spremberg;Spremberg;;2009-05-06;NA;14.3764;51.5645;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Lustgartenstr.;4a;03130;2016-01-01
84;DEBB086;Blankenfelde-Mahlow;Mahlow;;2010-05-25;NA;13.4243;52.3497;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Schulstr.;1;15831;2016-01-01
90;DEBB092;Frankfurt (Oder);Frankfurt (Oder);FFIS;2013-10-01;NA;14.5260;52.3347;BB;Brandenburg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Im Sande;;15234;2016-01-01
107;DEBB109;Luckenwalde;Luckenwalde;;2019-01-01;NA;13.1749;52.0897;BB;Brandenburg;städtisches Gebiet;städtisch;Hintergrund;Breite Str.;53;14943;2019-01-01
121;DEBE010;Berlin Wedding;Berlin;;1984-11-01;NA;13.3493;52.5430;BE;Berlin;städtisches Gebiet;städtisch;Hintergrund;Amrumer Str./Limburger Str.;;13353;2016-01-01
129;DEBE018;Berlin Schöneberg;Berlin;;1986-11-01;NA;13.3488;52.4858;BE;Berlin;städtisches Gebiet;städtisch;Hintergrund;Belziger Str.;52;10823;2016-01-01
138;DEBE027;Berlin Marienfelde;Berlin;;1989-04-01;NA;13.3681;52.3984;BE;Berlin;ländlich stadtnah;ländlich;Hintergrund;Schichauweg (UBA-Gelände);66;12307;2016-01-01
143;DEBE032;Berlin Grunewald (3.5 m);Berlin;;1986-10-01;NA;13.2251;52.4732;BE;Berlin;ländlich stadtnah;ländlich;Hintergrund;Jagen 91 (Waldstation, H=3.5 m);;14193;2016-01-01
145;DEBE034;Berlin Neukölln;Berlin;;1986-03-01;NA;13.4308;52.4895;BE;Berlin;städtisches Gebiet;städtisch;Hintergrund;Nansenstr.;10;12047;2016-01-01
158;DEBE051;Berlin Buch;Berlin;MC077;2017-07-24;NA;13.4831;52.6442;BE;Berlin;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Hobrechtsfelder Chaussee;110-113;13125;2016-01-01
163;DEBE056;Berlin Friedrichshagen;Berlin;;1994-02-01;NA;13.6471;52.4477;BE;Berlin;ländlich stadtnah;ländlich;Hintergrund;Müggelseedamm (Wasserwerk);308;12587;2016-01-01
168;DEBE061;Berlin Schildhornstraße;Berlin;;1994-11-01;NA;13.3183;52.4636;BE;Berlin;städtisches Gebiet;städtisch;Verkehr;Schildhornstr.;76;12163;2016-01-01
169;DEBE062;Berlin Frohnau (3.5 m);Berlin;;1996-02-01;NA;13.2961;52.6533;BE;Berlin;ländlich stadtnah;ländlich;Hintergrund;Jägersteig (Funkturm 3.5 m);1;13465;2016-01-01
170;DEBE063;Berlin Silbersteinstraße;Berlin;;1996-05-01;NA;13.4417;52.4675;BE;Berlin;städtisches Gebiet;städtisch;Verkehr;Silbersteinstr.;1;12051;2016-01-01
171;DEBE064;Berlin Karl-Marx-Straße;Berlin;;1993-08-01;NA;13.4340;52.4817;BE;Berlin;städtisches Gebiet;städtisch;Verkehr;Karl-Marx-Str.;76;12043;2016-01-01
172;DEBE065;Berlin Frankfurter Allee;Berlin;;1993-09-01;NA;13.4699;52.5141;BE;Berlin;städtisches Gebiet;städtisch;Verkehr;Frankfurter Allee;86b;10247;2016-01-01
173;DEBE066;Berlin Karlshorst;Berlin;;1999-07-01;NA;13.5295;52.4853;BE;Berlin;städtisches Gebiet;städtisch;Hintergrund;Rheingoldstr./Königswinterstr.;;10318;2016-01-01
174;DEBE067;Berlin Hardenbergplatz;Berlin;;2004-01-01;NA;13.3330;52.5066;BE;Berlin;städtisches Gebiet;städtisch;Verkehr;Hardenbergplatz;1;10623;2016-01-01
175;DEBE068;Berlin Mitte;Berlin;;2003-01-01;NA;13.4188;52.5136;BE;Berlin;städtisches Gebiet;städtisch;Hintergrund;Brückenstr.;6;10179;2016-01-01
176;DEBE069;Berlin Mariendorfer Damm;Berlin;;2009-01-01;NA;13.3877;52.4381;BE;Berlin;städtisches Gebiet;städtisch;Verkehr;Mariendorfer Damm;148;12107;2016-01-01
215;DEBW004;Eggenstein;Eggenstein;;1976-09-01;NA;8.4067;49.0766;BW;Baden-Württemberg;ländlich stadtnah;ländlich;Hintergrund;Gewann Zigeunerschlag;;76344;2016-01-01
216;DEBW005;Mannheim-Nord;Mannheim;;1975-01-01;NA;8.4653;49.5441;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Industrie;Gew Steinweg;;68307;2016-01-01
220;DEBW009;Heidelberg;Heidelberg;;1984-01-01;NA;8.6767;49.4195;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Ecke Berliner-/Blumenthalstr.;;69120;2016-01-01
221;DEBW010;Wiesloch;Wiesloch;;1986-05-01;NA;8.7001;49.3007;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;In der Hessel;;69168;2016-01-01
224;DEBW013;Stuttgart-Bad Cannstatt;Stuttgart;;1981-01-01;NA;9.2297;48.8088;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Gnesenerstr./Seuberstr.;;70374;2016-01-01
226;DEBW015;Heilbronn;Heilbronn;;1979-11-01;NA;9.2248;49.1655;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Hans-Rießer-Straße;2109;74076;2016-01-01
228;DEBW019;Ulm;Ulm;;1978-10-01;NA;9.9790;48.3968;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Böblingerstraße;;89077;2016-01-01
231;DEBW022;Kehl;Kehl;;1982-02-01;NA;7.8023;48.5782;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Industrie;Rheindamm/Yachthafen;;77694;2016-01-01
232;DEBW023;Weil am Rhein;Weil am Rhein;;1982-02-01;NA;7.6333;47.5882;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Zwölfthauen;3;79576;2016-01-01
233;DEBW024;Ludwigsburg;Ludwigsburg;;1982-03-01;NA;9.1728;48.8992;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Weimar-/Schweizerstr.;;71636;2016-01-01
236;DEBW027;Reutlingen;Reutlingen;;1982-02-01;NA;9.2073;48.4889;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;"Ebertstraße/Gelände ""Pomologie""";;72762;2016-01-01
